	id	filename	md5	byte_size
0	3f474ec5-1b6e-45e5-9fc4-fdb54e9a133b	TCGA-ER-A3EV-06A-11R-A20E-13_mirna_gdc_realn.bam	86bffb2922b60115bd0b1bf8e154a899	142366534
1	6847b4c4-6fa3-4d7d-8af0-0d8048711883	ff136e14-cab3-4b04-b10a-0af535eb4161_gdc_realn_rehead.bam	ba2f2cba73d6c38ba272d30a67be747c	2599237914
2	53173c58-259d-4233-8529-5bf33e7bc5eb	C828.TCGA-ER-A3EV-06A-11D-A20D-08.1_gdc_realn.bam	f4ad7f9507147e4666440599b2393d29	11900352056
3	918e793b-e56e-42f5-a4d4-eb25768786d3	C828.TCGA-ER-A3EV-10A-01D-A20D-08.1_gdc_realn.bam	f1c9c549170276a1dfb9c42c4c7094b5	11906376659
4	e8b3974a-b312-4a3e-bd56-7669117dd4ee	C828.TCGA-EB-A57M-10A-01D-A30X-08.1_gdc_realn.bam	069bc73ed7bd9c5106b369c75b5bd590	11188227100
5	a43bf035-b337-4911-aaca-57d0c301fc98	C828.TCGA-EB-A57M-01A-51D-A30X-08.1_gdc_realn.bam	d4d8f1aab6dc0334d83176eea0f5145c	10049689876
6	88648951-f6db-4373-9b0e-a99f2d096c03	d0c91f25-7990-41ca-b4fe-cbd514a01b7a_gdc_realn_rehead.bam	27d780321b9dec7c911c176ba663e0ec	7293373225
7	70c88a8e-0cfc-4e39-a8c1-f62a19f27359	TCGA-EB-A57M-01A-51R-A310-13_mirna_gdc_realn.bam	cf1ab5856be5d7f7ab81dfed4811d3ba	360219563
8	24bd0671-2659-4cba-bfde-04f18a04de67	TCGA-D3-A51T-06A-11R-A25Z-13_mirna_gdc_realn.bam	35bec2c97247d85313d2ecd1658e0e10	158980690
9	368a6c00-9e96-4b9f-8db7-06ad51ff7c64	f8726325-9ff5-45da-a42e-e130236cb043_gdc_realn_rehead.bam	559a62d3b3184c11d625f981ef1c5ce8	7941877134
10	8a8876ce-4654-42dc-ad62-676aa4d01539	C828.TCGA-D3-A51T-06A-11D-A25O-08.3_gdc_realn.bam	a7013b3fe8fe172509536046f160330f	5128284989
11	e7aa6cf8-3d31-4944-9694-91bf82a5063e	C828.TCGA-D3-A51T-10A-01D-A25O-08.3_gdc_realn.bam	a95e5816f65196e06d51f16f7f50d217	6152402332
12	860c7d7f-320e-4937-90c1-dc4a4c035974	C828.TCGA-EE-A29S-10A-01D-A199-08.3_gdc_realn.bam	c294454b52e4d95bb875f256dd694e4f	8576805350
13	80765008-4b46-4e1c-baa1-30c9c332244c	C828.TCGA-EE-A29S-06A-11D-A197-08.3_gdc_realn.bam	b0c60ff24ed0b49b42e96bcf8a4457bf	11229978618
14	4e5be9cd-6206-4e4f-9451-62af3aa38839	TCGA-EE-A29S-06A-11R-A18W-13_mirna_gdc_realn.bam	518105c8eb90496343def6e486c04cc5	257193450
15	e161833e-591d-4ac0-8a26-c9872a4c18bf	31fba52e-4ab1-493d-9dc5-029d304e8da6_gdc_realn_rehead.bam	ec832eab4419233b45fb696caa1d5a16	8681875018
16	587b8a5a-287b-40a6-8fb9-aa47d246d56d	C828.TCGA-FS-A1ZH-10A-01D-A199-08.3_gdc_realn.bam	e6cde9df16bd8cab0e02b9f6c46e204b	9760647825
17	93397bf2-1df5-44ba-96d8-8eb81a40a0c1	C828.TCGA-FS-A1ZH-06A-11D-A197-08.3_gdc_realn.bam	226bc4a592427c915db8477f3006a8d8	12478674517
18	49bc6140-5b7f-4d35-b17d-3e014b134ace	TCGA-FS-A1ZH-06A-11R-A18W-13_mirna_gdc_realn.bam	c87bdfee59faf9396bf866d389136a02	298647780
19	40d6b990-8c13-4988-ae0b-e3cec0845c8f	7a2febf1-e469-4bdb-860f-4cb7fa83a04a_gdc_realn_rehead.bam	335bb6414460ef1b54807281319d098a	10323826732
20	810f5fcc-346a-47db-9ecc-6b67ee5cb4cb	C828.TCGA-WE-A8K1-10A-01D-A375-08.1_gdc_realn.bam	4a3356528cd5b4752cf4ac085df1d303	12451515535
21	76e2bf99-a3f7-4def-8f09-1f09cf0214b7	e682d53d-1af2-4e00-b022-a4af2a44f38a_gdc_realn_rehead.bam	bfa0bff2ee72898775b73771bb11737b	7509428190
22	e3214417-c726-45ed-af64-ed49d3fb4506	TCGA-WE-A8K1-06A-21R-A37G-13_mirna_gdc_realn.bam	da0682ac322492cfe5a436652bd652d6	209702085
23	e6382d23-0fb5-48b3-84bc-26733f9768ba	C828.TCGA-WE-A8K1-06A-21D-A372-08.1_gdc_realn.bam	eee41e792fb7a221632529454db7f1ce	11507901521
24	64c613ce-952f-4412-9702-e50e402f8b2a	C828.TCGA-EB-A5SH-10A-01D-A30X-08.1_gdc_realn.bam	26b611c1461f090b2c1a62bf5b98c030	10357414830
25	c5c0e9fe-adf5-419d-8805-93f0016d4963	C828.TCGA-EB-A5SH-06A-11D-A30X-08.1_gdc_realn.bam	70f3cd92aab40ce0bf3d231b23cf7cd0	10985419879
26	0dc17a98-7227-4253-9d8b-62ac2452b9db	24875b17-8db8-4081-a905-21ae00fe612a_gdc_realn_rehead.bam	3652e1b1afefd648e5fce910ad6413ed	6635908010
27	5a45c006-6474-46b5-8a03-210938e0e8a9	TCGA-EB-A5SH-06A-11R-A310-13_mirna_gdc_realn.bam	8d3b425c97ec714e3714dbda423aea93	263367790
28	1eb8a5d1-7dfe-4685-9b22-598714c73c09	fc9a595e-2077-49d8-a8a5-f026f8a7345e_atacseq_gdc_realn.bam	da1a5aaa34c5e40531cfa4f402ea362a	21296231959
29	4e594926-2e5e-4cf6-8cfe-375f972046df	3cb7598d-21cf-44b8-8f70-9aa42b71a709_gdc_realn_rehead.bam	c5f9c697e4780e7d6cd995cccf06b833	10630098719
30	29c9cd7f-5e80-4cbc-9beb-f13892520706	TCGA-EB-A24D-01A-11R-A18W-13_mirna_gdc_realn.bam	4ede5842c72ca78093392a4d38175c8b	301534508
31	b4c75727-2e59-477a-85bb-1590be1e6203	C828.TCGA-EB-A24D-01A-11D-A197-08.2_gdc_realn.bam	fc1441dbe4711d86e7d3292e0867dd6f	11216626716
32	f5dfc97f-c43b-4d1c-9ebc-cb030c876cfd	C828.TCGA-EB-A24D-10A-01D-A199-08.2_gdc_realn.bam	8b4b072d47d11555235e7c3b5c93c05a	7272102709
33	7ac61624-700f-49cf-80a5-b653b4a0d2c5	C828.TCGA-DA-A1I2-10A-01D-A19A-08.2_gdc_realn.bam	76ef7fbfbcd123f279f50b3454d46b07	9761288177
34	0088d71d-f04d-45d1-813b-58a0d837a5d3	TCGA-DA-A1I2-06A-21R-A18X-13_mirna_gdc_realn.bam	7ac2bf826a36582f6fc8355338054ef3	166039662
35	ba6fb844-803a-4920-9144-24d75e65ac1e	3fc06d23-3078-45da-8b80-803b106c4555_gdc_realn_rehead.bam	39dc8e3993e4668d8b8e50988efe011c	11860331970
36	53487f33-d7b1-4734-82c7-04896e59aa2d	C828.TCGA-DA-A1I2-06A-21D-A19A-08.2_gdc_realn.bam	4d1bb1bb5d24eabd529915b0e383b7b8	6520745631
37	7cafea85-4ed2-4a97-af6a-4ee6973fb8fb	C828.TCGA-HR-A2OG-10A-01D-A199-08.3_gdc_realn.bam	3468bdd132b634ae166a3d9cd85b7b85	7128393410
38	78b83ca9-d178-48bc-8792-c67a5ed8e7ce	C828.TCGA-HR-A2OG-01A-21D-A197-08.3_gdc_realn.bam	4711c4674fbcd60427dbf1cdc43277ca	9355707333
39	557761cd-0c66-438f-9a04-7fe8f92af943	335db204-76cf-4e09-8963-45104838b047_gdc_realn_rehead.bam	8aee56c8d2d833ec818c77e93cc3a426	9989401201
40	15162e1f-177b-4ce6-b908-2e7bae61c7cb	TCGA-HR-A2OG-06A-21R-A18X-13_mirna_gdc_realn.bam	e4ddb16f13dada6ed8a8fc233689740d	234518869
