	id	filename	md5	byte_size
0	86b5cbb3-3034-444d-a2b3-f26081ab9fdd	TCGA-AF-3400-10A-01D-1989-10_gapfillers_Illumina_gdc_realn.bam	663551b05b9fc3908f032a9252a86452	5117960524
1	53fef319-45e2-4dc6-ba57-062a7ed709b1	TCGA-AF-3400-11A-01D-1554-10_Illumina_gdc_realn.bam	f90e1fff9060c52edb41e22075ff82ea	19251943295
2	31194670-516d-4266-9047-e5d06336959f	ab445101-1def-4fe7-9f15-77771a34101d_gdc_realn_rehead.bam	569dc409f66425934f5d624d9098dc3b	9133638033
3	076432ea-bc64-4567-903f-a66d641de700	TCGA-AF-3400-01A-01T-0822-13_mirna_gdc_realn.bam	79bcd7b8fa0daded94553657a02c5f6e	51105476
4	020c09b6-343e-4c62-9879-bbf570083f16	TCGA-AF-3400-01A-01D-1989-10_gapfillers_Illumina_gdc_realn.bam	544fd651ac3c8a8a190bf6842d807455	4530585480
5	017dd171-3e6d-452e-bccd-b8e55e87b7f1	d7eba0d1-7dcd-4688-9382-f6244fda48c9_gdc_realn_rehead.bam	074c81536f1b0edbd5303fa73352dd00	2214970374
6	e4fc57a3-1541-46b4-9f27-6105252be060	TCGA-EI-6512-10A-01D-1733-10_hg19_Illumina_gdc_realn.bam	f2ebdca74504063fcfda57bafe68e502	35292944561
7	e04a7b04-d537-4336-b6c0-a984205f8105	25fb5ec9-114a-4211-9a26-08f2659477d7_gdc_realn_rehead.bam	ab74777aa0bce1b0a4eeced3e3bc88d4	7247168644
8	33854770-ce69-4ca7-b592-87fbf4545b06	TCGA-EI-6512-01A-11H-1735-13_mirna_gdc_realn.bam	d1b7fe59892ff2cadd1c6b9618295716	170871878
9	6d155830-8f8f-41ca-b264-0e824993eaf7	TCGA-EI-6512-01A-11D-1733-10_hg19_Illumina_gdc_realn.bam	fdf53cb73393c9d5ffa4226f6dce8860	37159018256
10	8245bd6f-3204-43c4-9e33-fa36551c48aa	TCGA-AG-A01W-01A-21R-A082-13_mirna_gdc_realn.bam	e4bb571289b89fac9ea9aad330e290de	66241887
11	d6c587a2-3c08-4e70-9a21-cb3ed9088e9a	3d0604f5-e69b-47c5-9d93-bec16d33d23e_gdc_realn_rehead.bam	7409c1f0487abe35c817a02b9d72c15b	2347276136
12	82f3b03e-68b6-4ae0-9e51-b47b3b870724	TCGA-AG-A01W-01A-21W-A096-10_Illumina_gdc_realn.bam	7736ed1aa81d1a95446c4db0c49e5d89	31811248141
13	1c47dbf3-d172-486f-b186-aac73b0b2cda	TCGA-AG-A01W-11A-11W-A096-10_Illumina_gdc_realn.bam	21c9d3e0c2e00957b3b30f8eef61f5fe	29431339548
14	8f07f1b4-cd68-40bc-9ab5-d31bbccc195f	TCGA-DY-A1DE-01A-11D-A152-10_Illumina_gdc_realn.bam	78320bda5729bd41a426bf8f7f66ef16	29201079448
15	4a32f5e7-34aa-4bd7-aaf7-4135c014b5ef	TCGA-DY-A1DE-01A-11H-A154-13_mirna_gdc_realn.bam	b357358b19b3a7f96647297dec22b5ff	434731891
16	5ff12417-cd68-4aae-a1af-dbbb2bca0d4f	b7a8acc2-d5f8-40b3-9919-bce45987e925_gdc_realn_rehead.bam	21510b4503905351bac9036283c633c6	6286108472
17	10538428-e86a-4061-826b-4d84d42128d9	8e851667-a118-4489-b1c0-250ddaa59eb2_gdc_realn_rehead.bam	29b2e5ec698ee049bb6afc9fe058e413	2766741119
18	4457d889-db74-4fed-8608-6d009be2c92d	TCGA-AG-A020-01A-21R-A082-13_mirna_gdc_realn.bam	10325a1a3903b00f6c53db2484a55fd2	48890122
19	5eb2efa8-5d54-4349-8c0e-7c0b5944e97d	TCGA-AG-A020-01A-21W-A096-10_Illumina_gdc_realn.bam	6c4f96ec062492f0adb70e381a15d2f4	30937585129
20	386f1568-0c3d-4668-bc00-44e209671762	TCGA-AG-A020-11A-11W-A096-10_Illumina_gdc_realn.bam	847b5cfac09dbd30ddfd2bf9d4949a90	31175517459
21	3dc4ae7f-a351-4dde-b31a-cf83aa837549	TCGA-AG-3587-01A-01T-0822-13_mirna_gdc_realn.bam	ccd06f32fc9a94f49db7498b29071d54	52992643
22	257c0742-94fb-41db-b50e-4d17234dfb95	cd0d7652-0853-4045-aff8-5288e245534b_gdc_realn_rehead.bam	fcb536b17799d94a76f089fafdecc14d	1928178442
23	946ebe91-b00c-4c96-be31-2ef7adc8566b	TCGA-AG-3587-10A-01D-1989-10_gapfillers_Illumina_gdc_realn.bam	700f2ec383b709b75890eac6d58ce5bf	4602736745
24	55be65ac-9088-44a7-8f3c-e5049b51062b	TCGA-AF-5654-11A-11D-1657-10_Illumina_gdc_realn.bam	4280e432264cd5498e0ae08106c701cb	29786105342
25	dfe29194-6e6c-455c-9cc4-98fdd874c0a1	07c4bc1c-6f14-4569-9d59-c6e2ce371b91_gdc_realn_rehead.bam	f9cf47169295232754e9cdb3cd5af609	6012350227
26	2635b36f-044f-4dd5-92a3-6db287cd0b8f	TCGA-AF-5654-01A-01T-1659-13_mirna_gdc_realn.bam	aa72a5b82c39c8b019c423fa6ae3b3aa	106776191
27	e6cd2ec4-4abf-4ce1-8396-73681714b7fe	a4848806-a25e-4918-9f1d-5b61b0dbfeb6_gdc_realn_rehead.bam	5c329d49d814db301b54cc8041d4216d	6073757011
28	54d1a352-749d-4c7a-95c8-d4c6fa8d95f9	TCGA-AF-5654-01A-01D-1657-10_hg19_Illumina_gdc_realn.bam	7548cde299718853f6f42faccf24535d	16527756410
29	cf4ac885-a72f-4fa7-907e-386a3043ef8c	TCGA-AF-5654-10A-01D-1657-10_hg19_Illumina_gdc_realn.bam	bf61a45df6a345b02524ecca96bd96f7	32757941187
30	e9734650-f108-4ba4-8b03-27cdcc48e92a	16a6c406-7942-45a5-b1db-b4d1ba3b6212_gdc_realn_rehead.bam	73a7fcb4990c68fa8f369967aef5b5e6	2558953104
31	8173b797-f3e3-4b83-a84f-2c96410487ca	TCGA-AG-4015-01A-01T-1120-13_mirna_gdc_realn.bam	30264fb7255bb00a45cc00552e825664	72950861
32	27e84882-d917-4f93-abc3-110228ace502	c03bd8ae1c24a35a204d5b246828c2f1_gdc_realn.bam	5eea99a1d5afd9fc2573807827f10d7a	20215599076
33	29e50c70-ba85-4b2d-a592-fa9102317339	5d1b6d9af8eadefc683d9cbfd8208365_gdc_realn.bam	4177e2262d5d2e4d818f936d41b202f4	21886281037
34	5e235845-ddfb-48de-8478-191bce1e8485	TCGA-AG-A036-01A-12R-A082-13_mirna_gdc_realn.bam	d62d6a8fe2f8f833f65dea6b54168569	63113438
35	078fec17-48c9-4d5e-9a05-405fe449f951	554ec247-ca9f-4efc-b76b-38bec82238b3_gdc_realn_rehead.bam	1529d18decac69b9671c221d61a42aeb	2707263592
36	bf7f451f-a250-4c65-ab0d-3604009f383d	TCGA-AG-A036-01A-12W-A096-10_Illumina_gdc_realn.bam	dd5f63be592093991188a29e842f35d3	31296012239
37	0c7389a6-7f58-43d1-94d8-d69be03396b6	TCGA-AG-A036-11A-11W-A096-10_Illumina_gdc_realn.bam	d4a89f9419292a069b43ea997758249b	31356355620
38	e71b11ac-a5e2-42b2-9e8c-30127d92c91d	2ab97391009f70ba53ccd9780a75c548_gdc_realn.bam	864a6b369486f59cea482ddd25faf5b6	38592103632
39	116c0a93-c509-46f9-b3cc-f249ad87c978	5cc7addd-3e08-4c7f-bc60-71b6221995aa_gdc_realn_rehead.bam	e8b5affa47e9dfebcfc32019b621fa6d	1851874728
40	ea79500d-e228-49c9-a5ab-7b6969d65619	df37426f6225e5b54191f41217c1c26e_gdc_realn.bam	78cd8370ffeed5f9eb0481ac8abbd82f	25173918946
41	737e3775-bc42-4d11-9ee3-231ffab9dcd1	TCGA-AG-3909-01A-01T-1120-13_mirna_gdc_realn.bam	a563e869f4a40ea65e80ecfae3956253	88727084
42	3ef2bb0d-691f-46f0-aeb1-1b9e8f471e8b	TCGA-CI-6620-10A-01D-1826-10_Illumina_gdc_realn.bam	3106f987ea2894c133b775d98be4d923	35353209776
43	83a707ba-9755-407f-bbc8-4dd5e35212d4	TCGA-CI-6620-01A-11H-1829-13_mirna_gdc_realn.bam	02450e20dda1ddaa66b3a1aee72cdc4f	301103322
44	d15c16e5-63be-4455-a023-89f69a54d631	fc6a0425-4cd7-4591-8d80-fee3696e1d85_gdc_realn_rehead.bam	aeafc53844f0a6f6b4fc9fe0f0efbe4b	7537493994
45	bffea131-cdbe-44b9-9ea2-b0cfdd123272	TCGA-CI-6620-01A-11D-1826-10_Illumina_gdc_realn.bam	a4541f46bf0f4e6db8139ec326b73d80	26288088565
46	170808ea-b2c2-4b5e-941e-3d92aac8e96e	TCGA-AH-6897-10A-01D-1924-10_hg19_Illumina_gdc_realn.bam	a7116e0a350bfca5c7c1c290065a2fae	20905218092
47	512047bb-6575-4200-ad8b-d852c34f77ec	TCGA-AH-6897-01A-11D-1924-10_hg19_Illumina_gdc_realn.bam	97779c098a9a00c45157b7ddc9c2717f	23354825811
48	f3d12b6c-e509-41b7-96f0-959ed78e2086	TCGA-AH-6897-01A-11H-1927-13_mirna_gdc_realn.bam	ab499842221392eec6548e54e58694ee	100659734
49	c33583f6-c925-4130-97b3-df2eedfac69f	96daf9e9-76e1-40ec-a3bb-3f514775b9fc_gdc_realn_rehead.bam	1d5641dd48896f9cae645dd41989864b	4930872823
50	db82542f-db4b-4e59-8555-1765713e32cf	6a29d5a3-a6a7-4bf2-b0f8-973fa4bc1ce0_gdc_realn_rehead.bam	9601a54f2868e80d1152ca8fc8050511	2742569575
51	b29977da-e8fe-4412-935c-6cfb2c1d4783	b61246c2aa0c36234fe7cacf6ac3dfe9_gdc_realn.bam	3dcb3d53d322d6ae93485f86456d0778	22345312166
52	0039b8dd-aa62-4136-84a7-a5798c85d557	TCGA-AF-3913-01A-02T-1120-13_mirna_gdc_realn.bam	98737a34dd2c1b3b9eb32a6840ecbcbd	90531445
53	4e6c899a-a0d0-49ba-99e4-56b1c4af5cca	d0b339e479c5f793f82d1e207229f553_gdc_realn.bam	adec65c346046add350fc1c2390ae53f	17929952314
54	9b341cc2-9e55-4cc2-ba25-03f4c157bdd9	TCGA-F5-6465-01A-11D-1733-10_hg19_Illumina_gdc_realn.bam	e197c51885c1b22582d293b239662ef4	33311606519
55	cc415000-40d2-4a4d-bc00-8868971aad25	73549b98-6935-4903-ba5f-9d900670fa2f_gdc_realn_rehead.bam	7f95a2217693e36b21e36a61fb521fa5	8812471904
56	cfbbdb4c-5579-4a26-b397-22e6abc4ad4d	TCGA-F5-6465-01A-11H-1735-13_mirna_gdc_realn.bam	0c0a364281881c246475b648febf94a2	215367894
57	5d7c0563-40e2-47ee-97bd-b78f7497f516	TCGA-F5-6465-10A-01D-1733-10_hg19_Illumina_gdc_realn.bam	9c3d0bd03c00d89858c286c5f5691f7c	34849136837
58	b0fc59d8-ab3e-4f75-ac06-400fb4d9e860	TCGA-AG-4022-10A-01D-1733-10_Illumina_gdc_realn.bam	d6bd103a1649ef6555fa98f2bc4ab21c	33258030008
59	f50a2943-6d8a-4bc4-a96b-05b5cb3d3148	TCGA-AG-4022-01A-01D-1733-10_Illumina_gdc_realn.bam	9070ee09a86c19380bffbecd0bc54275	40422040208
60	d24b70c1-7159-4c54-9a44-52fc0ea0a364	2da5730c-b0f4-4267-83d9-3bcc2234e445_gdc_realn_rehead.bam	a8d114de29dbbe91972869766eadb0cb	7981469881
61	86e026a5-5c59-4a1f-ad84-1ea5846c0d04	TCGA-AG-4022-01A-01T-1735-13_mirna_gdc_realn.bam	47b3a2628aa37abe64aada2a44f93d05	303810911
62	65ce901b-365d-46bb-a8d6-05ba56648093	TCGA-AG-3608-10A-01W-1990-10_gapfillers_Illumina_gdc_realn.bam	6814de9558be81b12041a6a2ce0b377c	7234572699
63	0ce8638a-27b3-4d1c-bf15-7278dcff4c2b	dcf31d29-16e5-4bc9-8acd-d52a5bd2f718_gdc_realn_rehead.bam	29ef9f370d20589ebce00f8cc12ea8bb	1982050623
64	85a12328-febe-47a2-8b13-6b5b6be34b62	TCGA-AG-3608-01A-01T-0827-13_mirna_gdc_realn.bam	057473249989e7a4685d8d44b7afa949	58339729
65	2570d07a-7489-4014-9957-5a894ea2070c	TCGA-EI-6513-10A-01D-1733-10_hg19_Illumina_gdc_realn.bam	8bc2d67fb1c9e5b7d0f7b9cf632952b9	32333885171
66	7069395f-a5da-4696-a987-a0403f2a3815	TCGA-EI-6513-01A-21D-1733-10_hg19_Illumina_gdc_realn.bam	818b790aff8ca0f29286ab011dfce58b	31272219568
67	81442289-cd29-4ede-91da-c9d3ccd4c58e	TCGA-EI-6513-01A-21H-1735-13_mirna_gdc_realn.bam	7b791bebdc6bbe31cf34b90acac1d9f9	184726246
68	d2685154-224a-4a7b-8aac-8d9e1ec73b1a	c14fe6b6-47a6-47e3-8872-65d10a296dcc_gdc_realn_rehead.bam	dc37326f85fc3955abf444f8108fe5a4	8078501141
69	24b34524-1f20-412f-8014-efcd88769395	26b09e1bbb77071ca8d424e34abfe959_gdc_realn.bam	8e6bcc3b6cdc23a021cb0e3197efe041	20282695528
70	9a2bfae6-4e26-4779-8139-f9599818d272	39a45fdc-a702-47d0-8655-9547700a5950_gdc_realn_rehead.bam	e4371d35b178cd503c173376a714c14e	1734400546
71	7220703c-04f1-4ebf-91b7-38ffd68e319d	TCGA-AG-3890-01A-01T-1120-13_mirna_gdc_realn.bam	8316ecb54ff7d0926e6051d0ef304dd1	67173938
72	9b91c1fa-82c3-4f22-9816-7eb85cf72ce1	0538ec672281c15a8ce9931a49f86a4a_gdc_realn.bam	9dbf742c9148109d915e67a41eea6a84	22099908048
73	da8d08db-f977-41b3-a687-590c7385453c	TCGA-DC-6156-01A-11D-1657-10_Illumina_gdc_realn.bam	4996d637095064ff0f8b54dd17ac99f8	28743365044
74	ec592e9f-ee04-4c05-8227-22a894e84678	TCGA-DC-6156-01A-11H-1659-13_mirna_gdc_realn.bam	de329d8f838220038e1d0ac5bdbc5f0e	295514851
75	74b0ab15-eae8-4113-bb3e-6e77d8777122	1a88a2df-e40a-4beb-84c2-43c9971f8a77_gdc_realn_rehead.bam	3fe92692cbe531461c8a5997bf82cdaa	6964615954
76	12f0b883-900e-41b4-bbdf-a66b96e825ca	TCGA-AG-3727-01A-01W-0899-10_Illumina_gdc_realn.bam	8102f5ede62f88ddd6cc8d8d942d6aa6	30557983374
77	2b3b9634-6cff-496d-b258-f5f2b691d61f	TCGA-AG-3727-01A-01T-0906-13_mirna_gdc_realn.bam	fbf320e25ceb763ee91b31c2a271208b	39440353
78	0057b64d-ddd0-4c3e-81ad-082a1b70b940	7d14c83c-02e0-4c2c-a14e-255029cc0fa7_gdc_realn_rehead.bam	f5e70f00a4f1602cccd86f2dc3ecd7e4	1891918473
